Time [s],Value,Parity Error,Framing Error
13.3372050000,0x16,,
13.3383500000,0xFA,,Error
13.3394950000,0xB2,,Error
13.3406400000,0x76,,Error
13.3417850000,0x76,,Error
13.3429300000,0x3E,,
13.3440750000,0x36,,
13.3452200000,0x26,,
13.3463650000,0x32,,
13.3475100000,0x2A,,
13.3486550000,0x1A,,
13.3498000000,0x3A,,
13.3509450000,0x3A,,
13.3520900000,0x16,,
13.3532350000,0xB2,,
13.3543800000,0x16,,
13.3555250000,0xE2,,Error
13.3566700000,0x06,,
13.3578150000,0x00,,Error
13.5861600000,0x98,,Error
13.5879300000,0x16,,
13.5890750000,0xF2,,
13.5902200000,0x16,,
13.5913650000,0xC6,,
13.5925100000,0x16,,
13.5936550000,0xE6,,
13.5948000000,0x16,,
13.5959450000,0xFA,,Error
13.5970900000,0xB2,,Error
13.5982350000,0x76,,Error
13.5993750000,0x76,,Error
13.6005200000,0x3E,,
13.6016650000,0x32,,
13.6028100000,0x32,,
13.6039550000,0x32,,
13.6051000000,0x2A,,
13.6062450000,0x1A,,
13.6073900000,0x3A,,
13.6085350000,0x3A,,
13.6096800000,0x16,,
13.6108250000,0xA2,,
13.6119700000,0x16,,
13.6131150000,0xE2,,Error
13.6142600000,0x06,,
13.6154050000,0x00,,Error
13.8539550000,0x98,,Error
13.8557250000,0x16,,
13.8568700000,0xF2,,
13.8580150000,0x16,,
13.8591600000,0xC6,,
13.8603050000,0x16,,
13.8614500000,0xE6,,
13.8625950000,0x16,,
13.8637400000,0xFA,,Error
13.8648850000,0xB2,,Error
13.8660300000,0x76,,Error
13.8671750000,0x76,,Error
13.8683200000,0x3E,,
13.8694650000,0x2E,,
13.8706100000,0x3E,,
13.8717500000,0x32,,
13.8728950000,0x2A,,
13.8740400000,0x1A,,
13.8751850000,0x3A,,
13.8763300000,0x3A,,
13.8774750000,0x16,,
13.8786200000,0xB2,,
13.8797650000,0x16,,
13.8809100000,0xE2,,Error
13.8820550000,0x06,,
13.8832000000,0x00,,Error
14.1219600000,0x98,,Error
14.1237300000,0x16,,
14.1248750000,0xF2,,
14.1260200000,0x16,,
14.1271650000,0xC6,,
14.1283100000,0x16,,
14.1294550000,0xE6,,
14.1306000000,0x16,,
14.1317450000,0xFA,,Error
14.1328900000,0xB2,,Error
14.1340350000,0x76,,Error
14.1351750000,0x76,,Error
14.1363200000,0x3E,,
14.1374650000,0x2E,,
14.1386100000,0x22,,
14.1397550000,0x32,,
14.1409000000,0x2A,,
14.1420450000,0x1A,,
14.1431900000,0x3A,,
14.1443350000,0x3A,,
14.1454800000,0x16,,
14.1466250000,0xAE,,
14.1477700000,0x16,,
14.1489150000,0xE2,,Error
14.1500600000,0x06,,
14.1512050000,0x00,,Error
14.3898600000,0x98,,Error
14.3916300000,0x16,,
14.3927750000,0xF2,,
14.3939200000,0x16,,
14.3950650000,0xC6,,
14.3962100000,0x16,,
14.3973550000,0xE6,,
14.3985000000,0x16,,
14.3996450000,0xFA,,Error
14.4007900000,0xB2,,Error
14.4019350000,0x76,,Error
14.4030800000,0x76,,Error
14.4042250000,0x3E,,
14.4053700000,0x2A,,
14.4065150000,0x2E,,
14.4076600000,0x32,,
14.4088050000,0x2A,,
14.4099500000,0x1A,,
14.4110950000,0x3A,,
14.4122400000,0x3A,,
14.4133800000,0x16,,
14.4145250000,0xA6,,
14.4156700000,0x16,,
14.4168150000,0xE2,,Error
14.4179600000,0x06,,
14.4191050000,0x00,,Error
14.6473500000,0x98,,Error
14.6491200000,0x16,,
14.6502650000,0xF2,,
14.6514100000,0x16,,
14.6525550000,0xC6,,
14.6537000000,0x16,,
14.6548450000,0xE6,,
14.6559900000,0x16,,
14.6571350000,0xFA,,Error
14.6582800000,0xB2,,Error
14.6594250000,0x76,,Error
14.6605700000,0x76,,Error
14.6617150000,0x3E,,
14.6628600000,0x26,,
14.6640050000,0x3A,,
14.6651500000,0x32,,
14.6662950000,0x2A,,
14.6674400000,0x1A,,
14.6685850000,0x3A,,
14.6697300000,0x3A,,
14.6708750000,0x16,,
14.6720150000,0xBE,,
14.6731600000,0x16,,
14.6743050000,0xE2,,Error
14.6754500000,0x06,,
14.6765950000,0x00,,Error
14.9152500000,0x98,,Error
14.9170200000,0x16,,
14.9181650000,0xF2,,
14.9193100000,0x16,,
14.9204550000,0xC6,,
14.9216000000,0x16,,
14.9227450000,0xE6,,
14.9238900000,0x16,,
14.9250350000,0xFA,,Error
14.9261800000,0xB2,,Error
14.9273250000,0x76,,Error
14.9284700000,0x76,,Error
14.9296150000,0x3E,,
14.9307600000,0x26,,
14.9319050000,0x1E,,
14.9330500000,0x32,,
14.9341950000,0x2A,,
14.9353400000,0x1A,,
14.9364850000,0x3A,,
14.9376300000,0x3A,,
14.9387750000,0x16,,
14.9399150000,0x9A,,
14.9410600000,0x16,,
14.9422050000,0xE2,,Error
14.9433500000,0x06,,
14.9444950000,0x00,,Error
15.1832550000,0x98,,Error
15.1850250000,0x16,,
15.1861650000,0xF2,,
15.1873100000,0x16,,
15.1884550000,0xC6,,
15.1896000000,0x16,,
15.1907450000,0xE6,,
15.1918900000,0x16,,
15.1930350000,0xFA,,Error
15.1941800000,0xB2,,Error
15.1953250000,0x76,,Error
15.1964700000,0x76,,Error
15.1976150000,0x3E,,
15.1987600000,0x22,,
15.1999050000,0x26,,
15.2010500000,0x32,,
15.2021950000,0x2A,,
15.2033400000,0x1A,,
15.2044850000,0x3A,,
15.2056300000,0x3A,,
15.2067750000,0x16,,
15.2079200000,0xA6,,
15.2090650000,0x16,,
15.2102100000,0xE2,,Error
15.2113500000,0x06,,
15.2124950000,0x00,,Error
15.4511500000,0x98,,Error
15.4529200000,0x16,,
15.4540650000,0xF2,,
15.4552100000,0x16,,
15.4563550000,0xC6,,
15.4575000000,0x16,,
15.4586450000,0xE6,,
15.4597900000,0x16,,
15.4609300000,0xFA,,Error
15.4620750000,0xB2,,Error
15.4632200000,0x76,,Error
15.4643650000,0x76,,Error
15.4655100000,0x3E,,
15.4666550000,0x1E,,
15.4678000000,0x32,,
