Time [s],Value,Parity Error,Framing Error
20.0813100000,0x8B,,
20.0823600000,0xFD,,
20.0834100000,0x8B,,
20.0844650000,0xF9,,
20.0855150000,0x8B,,
20.0865650000,0x7D,,
20.0876150000,0x59,,
20.0886650000,0x8B,,
20.0897150000,0x8B,,
20.0907650000,0xD9,,
20.0918200000,0x8B,,
20.0928700000,0x71,,
20.0939200000,0x83,,
20.0949700000,0x00,,Error
20.3496600000,0x58,,Error
20.3513300000,0x8B,,
20.3523850000,0xFD,,
20.3534350000,0x8B,,
20.3544850000,0xF9,,
20.3555350000,0x8B,,
20.3565850000,0x7D,,
20.3576350000,0x59,,
20.3586850000,0x8B,,
20.3597400000,0x8B,,
20.3607900000,0xD9,,
20.3618400000,0x8B,,
20.3628900000,0x71,,
20.3639400000,0x83,,
20.3649900000,0x00,,Error
20.5400250000,0x58,,Error
20.5417000000,0x8B,,
20.5427500000,0xFD,,
20.5438000000,0x8B,,
20.5448500000,0xF9,,
20.5459000000,0x8B,,
20.5469500000,0x59,,
20.5480050000,0x57,,
20.5490550000,0x8B,,
20.5501050000,0x8B,,
20.5511550000,0xF3,,
20.5522050000,0x8B,,
20.5532550000,0x71,,
20.5543050000,0x83,,
20.5553600000,0x00,,Error
21.5515850000,0x58,,Error
21.5532600000,0x8B,,
21.5543100000,0xFD,,
21.5553650000,0x8B,,
21.5564150000,0xF9,,
21.5574650000,0x8B,,
21.5585150000,0x59,,
21.5595650000,0x57,,
21.5606150000,0x8B,,
21.5616650000,0x8B,,
21.5627150000,0xF3,,
21.5637700000,0x8B,,
21.5648200000,0x71,,
21.5658700000,0x83,,
21.5669200000,0x00,,Error
22.5594600000,0x58,,Error
22.5611350000,0x8B,,
22.5621850000,0xFD,,
22.5632350000,0x8B,,
22.5642850000,0xF9,,
22.5653400000,0x8B,,
22.5663900000,0x59,,
22.5674400000,0x57,,
22.5684900000,0x8B,,
22.5695400000,0x8B,,
22.5705900000,0xF3,,
22.5716400000,0x8B,,
22.5726950000,0x71,,
22.5737450000,0x83,,
22.5747950000,0x00,,Error
23.5683900000,0x58,,Error
23.5700650000,0x8B,,
23.5711150000,0xFD,,
23.5721650000,0x8B,,
23.5732200000,0xF9,,
23.5742700000,0x8B,,
23.5753200000,0x59,,
23.5763700000,0x57,,
23.5774200000,0x8B,,
23.5784700000,0x8B,,
23.5795200000,0xF3,,
23.5805700000,0x8B,,
23.5816250000,0x71,,
23.5826750000,0x83,,
23.5837250000,0x00,,Error
24.5765000000,0x58,,Error
24.5781750000,0x8B,,
24.5792250000,0xFD,,
24.5802750000,0x8B,,
24.5813250000,0xF9,,
24.5823750000,0x8B,,
24.5834300000,0x59,,
24.5844800000,0x57,,
24.5855300000,0x8B,,
24.5865800000,0x8B,,
24.5876300000,0xF3,,
24.5886800000,0x8B,,
24.5897300000,0x71,,
24.5907850000,0x83,,
24.5918350000,0x00,,Error
24.6774750000,0x58,,Error
24.6791450000,0x8B,,
24.6802000000,0xFD,,
24.6812500000,0x8B,,
24.6823000000,0xF9,,
24.6833500000,0x8B,,
24.6844000000,0x7D,,
24.6854500000,0x59,,
24.6865000000,0x8B,,
24.6875550000,0x8B,,
24.6886050000,0xD9,,
24.6896550000,0x8B,,
24.6907050000,0x71,,
24.6917550000,0x83,,
24.6928050000,0x00,,Error
24.7462700000,0x58,,Error
24.7479450000,0x8B,,
24.7489950000,0xFD,,
24.7500450000,0x8B,,
24.7510950000,0xF3,,
24.7521450000,0x8B,,
24.7531950000,0x5F,,
